Label,Average of Attractiveness Score,Average of Right-to-Win Score,Vertical
OS001,5.4307476635514025,8,Public Sector
OS002,5.4307476635514025,8,Manufacturing
OS003,5.4307476635514025,8,Finance & Insurance
OS004,5.4307476635514025,8,Manufacturing
OS005,5.4307476635514025,8,Manufacturing
OS006,5.4307476635514025,8,Manufacturing
OS007,5.4307476635514025,8,Manufacturing
OS008,5.4307476635514025,8,Manufacturing
OS009,5.4307476635514025,8,Finance & Insurance
OS010,5.4307476635514025,8,Finance & Insurance
OS011,5.4307476635514025,8,Finance & Insurance
OS012,5.4307476635514025,8,Finance & Insurance
OS013,5.4307476635514025,8,Public Sector
OS014,5.4307476635514025,8,Public Sector
OS015,5.4307476635514025,8,Public Sector
OS016,5.4307476635514025,8,Manufacturing
OS017,5.4307476635514025,8,Finance & Insurance
OS018,5.4307476635514025,8,Finance & Insurance
OS019,5.4307476635514025,8,Manufacturing
OS020,5.4307476635514025,8,Public Sector
OS021,5.4307476635514025,8,Energy
OS022,5.4307476635514025,8,Energy
OS023,5.4307476635514025,8,Public Sector
OS024,5.4307476635514025,8,Public Sector
OS025,5.4307476635514025,8,Retail
OS026,5.4307476635514025,8,Retail
OS027,5.4307476635514025,8,Healthcare
OS028,5.4307476635514025,8,Public Sector
OS029,5.4307476635514025,8,Manufacturing
OS030,5.4307476635514025,8,Manufacturing
OS031,5.4307476635514025,8,Manufacturing
OS032,5.4307476635514025,8,Public Sector
OS033,5.4307476635514025,8,Manufacturing
OS034,5.4307476635514025,8,Manufacturing
OS035,5.4307476635514025,8,Healthcare
OS036,5.4307476635514025,8,Transportation and Logistics
OS037,5.4307476635514025,8,Transportation and Logistics
OS038,5.4307476635514025,8,Finance & Insurance
OS039,5.4307476635514025,8,Public Sector
OS040,5.4307476635514025,8,Healthcare
OS041,5.4307476635514025,8,Energy
OS042,5.4307476635514025,8,Defense
OS043,5.4307476635514025,8,Automotive
OS044,5.4307476635514025,8,Construction
OS045,5.4307476635514025,8,Life Sciences
OS046,5.4307476635514025,8,Wholesale
OS047,5.4307476635514025,8,Media & Entertainment
OS048,5.4307476635514025,8,Natural Resources
OS049,5.4307476635514025,8,Aerospace & Defense
OS050,5.4307476635514025,8,Fast Moving Consumer Goods
OS051,5.4307476635514025,8,IT and Services
OS054,5.4307476635514025,8,Healthcare
OS055,5.4307476635514025,8,Retail
OS056,5.4307476635514025,8,Healthcare
OS057,5.4307476635514025,8,Automotive
OS058,5.4307476635514025,8,Construction
OS059,5.4307476635514025,8,Construction
OS060,5.4307476635514025,8,Life Sciences
OS061,5.4307476635514025,8,Media & Entertainment
OS062,5.4307476635514025,8,Aerospace & Defense
OS063,5.4307476635514025,8,Automotive
OS064,5.4307476635514025,8,Natural Resources
OS065,5.4307476635514025,8,Energy
OS066,5.4307476635514025,8,Finance & Insurance
OS067,5.4307476635514025,8,Manufacturing
OS068,5.4307476635514025,8,Healthcare
OS069,5.4307476635514025,8,Defense
OS070,5.4307476635514025,8,Life Sciences
OS071,5.4307476635514025,8,Fast Moving Consumer Goods
OS072,5.4307476635514025,8,IT and Services
OS073,5.4307476635514025,8,Energy
OS074,5.4307476635514025,8,Defense
OS075,5.4307476635514025,8,Defense
OS076,5.4307476635514025,8,Life Sciences
OS077,5.4307476635514025,8,Media & Entertainment
OS078,5.4307476635514025,8,Wholesale
OS079,5.4307476635514025,8,Wholesale
OS080,5.4307476635514025,8,IT and Services
OS081,5.4307476635514025,8,IT and Services
OS082,5.4307476635514025,8,Finance & Insurance
OS083,5.4307476635514025,8,Finance & Insurance
OS084,5.4307476635514025,8,Public Sector
OS085,5.4307476635514025,8,Natural Resources
OS086,5.4307476635514025,8,Manufacturing
OS087,5.4307476635514025,8,Public Sector
OS088,5.4307476635514025,8,Natural Resources
OS089,5.4307476635514025,8,IT and Services
OS090,5.4307476635514025,8,IT and Services
OS091,5.4307476635514025,8,Public Sector
OS092,5.4307476635514025,8,Public Sector
OS093,5.4307476635514025,8,Manufacturing
OS094,5.4307476635514025,8,Defense
OS095,5.4307476635514025,8,Natural Resources
OS096,5.4307476635514025,8,Life Sciences
OS097,5.4307476635514025,8,Manufacturing
OS098,5.4307476635514025,8,Life Sciences
OS099,5.4307476635514025,8,Aerospace & Defense
OS100,5.4307476635514025,8,Healthcare
OS101,5.4307476635514025,8,Wholesale
OS102,5.4307476635514025,8,Media & Entertainment
OS103,5.4307476635514025,8,Aerospace & Defense
OS104,5.4307476635514025,8,Natural Resources
OS105,5.4307476635514025,8,Manufacturing
OS106,5.4307476635514025,8,Healthcare
OS107,5.4307476635514025,8,Transportation and Logistics
OS108,5.4307476635514025,8,Energy
OS109,5.4307476635514025,8,Fast Moving Consumer Goods
